name,part_url,price,type,efficiency,wattage,modular,color
FSP Group Hydro PTM PRO,https://pcpartpicker.com/product/RDKKHx/fsp-group-hydro-ptm-pro-850-w-80-platinum-certified-fully-modular-atx-power-supply-hpt2-850m,160.99,ATX,platinum,850,Full,Black
Gigabyte UD-GM PG5,https://pcpartpicker.com/product/jcfxFT/gigabyte-ud-gm-pg5-850-w-80-gold-certified-fully-modular-atx-power-supply-gp-ud850gm-pg5,,ATX,gold,850,Full,Black
Deepcool PM850D,https://pcpartpicker.com/product/pjZXsY/deepcool-pm850d-850-w-80-gold-certified-atx-power-supply-r-pm850d-fa0b-us,,ATX,gold,850,false,Black
Thermaltake Toughpower SFX,https://pcpartpicker.com/product/qmMwrH/thermaltake-toughpower-sfx-450-w-80-gold-certified-fully-modular-sfx-power-supply-ps-stp-0450fpcgus-g,,SFX,gold,450,Full,Black
Cooler Master MWE Gold V2 ATX3.0,https://pcpartpicker.com/product/vYKscf/cooler-master-mwe-gold-v2-atx30-750-w-80-gold-certified-fully-modular-atx-power-supply-mpe-7501-afaag-3,,ATX,gold,750,Full,Black
Cooler Master XG750,https://pcpartpicker.com/product/fJYmP6/cooler-master-xg750-750-w-80-platinum-certified-fully-modular-atx-power-supply-mpg-7501-afbap-us,,ATX,platinum,750,Full,Black
ADATA XPG Core Reactor II,https://pcpartpicker.com/product/ZwpQzy/adata-xpg-core-reactor-ii-1200-w-80-gold-certified-fully-modular-atx-power-supply-corereactorii1200g-bkcus,,ATX,gold,1200,Full,Black
Zalman TXII,https://pcpartpicker.com/product/ZJFmP6/zalman-txii-600-w-80-certified-atx-power-supply-zm600-txii,,ATX,plus,600,false,Black
Thermaltake Toughpower PF1 - TT Premium Edition,https://pcpartpicker.com/product/tVzFf7/thermaltake-toughpower-pf1-650-w-80-platinum-certified-fully-modular-atx-power-supply-ps-tpd-0650fnfapu-1,,ATX,platinum,650,Full,
Montech CENTURY MINI,https://pcpartpicker.com/product/hnJp99/montech-century-mini-750-w-80-gold-certified-fully-modular-sfx-power-supply-century-mini-750,,SFX,gold,750,Full,Black
Thermaltake Toughpower Grand RGB Platinum,https://pcpartpicker.com/product/DkvdnQ/thermaltake-toughpower-grand-rgb-platinum-1200-w-80-platinum-certified-fully-modular-atx-power-supply-tpg-1200f1fapu-1,,ATX,platinum,1200,Full,Black
Gigabyte P1000GM,https://pcpartpicker.com/product/GBytt6/gigabyte-p1000gm-1000-w-80-gold-certified-fully-modular-atx-power-supply-gp-p1000gm,,ATX,gold,1000,Full,Black
Antec NeoECO 650 Gold,https://pcpartpicker.com/product/nNJtt6/antec-neoeco-gold-650-w-80-gold-certified-semi-modular-atx-power-supply-ne650g,,ATX,gold,650,Semi,Black
SilentiumPC Elementum E2 230V,https://pcpartpicker.com/product/zmNYcf/silentiumpc-elementum-e2-230v-550-w-80-certified-atx-power-supply-spc252,,ATX,plus,550,false,Black
Super Flower Leadex Platinum SE,https://pcpartpicker.com/product/DMbTwP/super-flower-leadex-platinum-se-1000-w-80-platinum-certified-fully-modular-atx-power-supply-sf-1000f14mp-v2,,ATX,platinum,1000,Full,Black
be quiet! Dark Power Pro 11,https://pcpartpicker.com/product/V7Wrxr/be-quiet-power-supply-bn254,,ATX,platinum,1000,Semi,
