name,part_url,price,tracking_method,connection_type,max_dpi,hand_orientation,color
Glorious Model O,https://pcpartpicker.com/product/FMqBD3/glorious-pc-gaming-race-model-o-wireless-optical-mouse-glo-ms-ow-mb,84.98,Optical,Wireless,19000,Right,Black
Logitech G502 X,https://pcpartpicker.com/product/QQpzK8/logitech-g502-x-wirelesswired-optical-mouse-910-006187,124.99,Optical,"Wired, Wireless",25600,Right,White
Corsair M55,https://pcpartpicker.com/product/VRQKHx/corsair-m55-wired-optical-mouse-ch-930f000-ww,35.99,Optical,Wired,16000,Right,Black
Logitech G403 HERO,https://pcpartpicker.com/product/xBgzK8/logitech-g403-hero-wired-optical-mouse-910-005630,45.99,Optical,Wired,25600,Right,Black / Blue
Logitech PRO 2 LIGHTSPEED,https://pcpartpicker.com/product/Cf6NnQ/logitech-pro-2-lightspeed-wiredwireless-optical-mouse-910-007246,159.97,Optical,"Wired, Wireless",32000,Both,Black
Corsair HARPOON RGB,https://pcpartpicker.com/product/8DCD4D/corsair-harpoon-rgb-wireless-optical-mouse-ch-9311011-na,74.99,Optical,Wireless,10000,Right,Black
Asus ROG Harpe II Ace,https://pcpartpicker.com/product/xhxTwP/asus-rog-harpe-ii-ace-bluetoothwirelesswired-optical-mouse-90mp0490-bmaa10,135.99,Optical,"Wired, Wireless, Bluetooth Wireless",42000,Right,White
Logitech G102 LIGHTSYNC RGB,https://pcpartpicker.com/product/tL4Zxr/logitech-g102-lightsync-rgb-wired-optical-mouse-910-005802,27.49,Optical,Wired,8000,Right,Black
Glorious Model I 2,https://pcpartpicker.com/product/WpNYcf/glorious-model-i-2-wirelessbluetoothwired-optical-mouse-glo-ms-iwv2-mb,79.99,Optical,"Wired, Wireless, Bluetooth Wireless",26000,Right,Black
Razer Viper 8KHz,https://pcpartpicker.com/product/ZzfnTW/razer-viper-8khz-wired-optical-mouse-rz01-03580100-r3u1,66.23,Optical,Wired,20000,Both,Black
Endgame Gear OP1 8k,https://pcpartpicker.com/product/BzDQzy/endgame-gear-op1-8k-wired-optical-mouse-egg-op1-8k-blk,109.99,Optical,Wired,26000,Right,Black
Razer Naga V2 HyperSpeed,https://pcpartpicker.com/product/D4Fbt6/razer-naga-v2-hyperspeed-wirelessbluetooth-optical-mouse-rz01-03600100-r3u1,77.98,Optical,"Wireless, Bluetooth Wireless",30000,Right,Black
Logitech G402,https://pcpartpicker.com/product/648H99/logitech-mouse-910004069,41.5,Optical,Wired,4000,Right,Black
Razer Cobra Pro,https://pcpartpicker.com/product/Vvqrxr/razer-cobra-pro-wiredbluetoothwireless-optical-mouse-rz01-04660100-r3u1,132.99,Optical,"Wired, Wireless, Bluetooth Wireless",30000,Right,Black
Razer Basilisk X HyperSpeed,https://pcpartpicker.com/product/yqPgXL/razer-basilisk-x-hyperspeed-wireless-optical-mouse-rz01-03150100-r3u1,41.99,Optical,Wireless,16000,Right,Black / Green
Redragon Mammoth,https://pcpartpicker.com/product/3GX2FT/redragon-mouse-m801,34.99,Laser,Wired,16400,Right,Black / Red
Razer Basilisk V3 Pro + Wireless Charging Puck,https://pcpartpicker.com/product/tGKKHx/razer-basilisk-v3-pro-wireless-charging-puck-wiredbluetoothwireless-optical-mouse-rzhb-220819-04,192.99,Optical,"Wired, Wireless, Bluetooth Wireless",30000,Right,Black
Razer Naga Pro,https://pcpartpicker.com/product/cYxbt6/razer-naga-pro-wireless-optical-mouse-rz01-03420100-r3u1,174.99,Optical,Wireless,20000,Right,Black
Corsair M75,https://pcpartpicker.com/product/bmhv6h/corsair-m75-wirelessbluetoothwired-optical-mouse-ch-931d011-na,65.95,Optical,"Wired, Wireless, Bluetooth Wireless",26000,Both,White
Logitech M330 SILENT PLUS,https://pcpartpicker.com/product/w7qhP6/logitech-m330-silent-plus-wireless-optical-mouse-910-004905,23.99,Optical,Wireless,1000,Right,Black
Glorious Model O 2,https://pcpartpicker.com/product/rk88TW/glorious-model-o-2-wiredwirelessbluetooth-optical-mouse-glo-ms-owv2-mb,129.99,Optical,"Wired, Wireless, Bluetooth Wireless",26000,Right,Black
Logitech G309 LIGHTSPEED,https://pcpartpicker.com/product/34Hqqs/logitech-g309-lightspeed-wirelessbluetooth-optical-mouse-910-007197,71.31,Optical,"Wireless, Bluetooth Wireless",25600,Right,Black
Razer Basilisk V3 Pro 35K,https://pcpartpicker.com/product/N87scf/razer-basilisk-v3-pro-35k-optical-mouse-rz01-05240200-r3u1,186.99,Optical,,35000,Right,White
Corsair DARK CORE RGB,https://pcpartpicker.com/product/6Nc48d/corsair-dark-core-rgb-wireless-optical-mouse-ch-9315211-na,,Optical,Wireless,16000,Right,Black
