name,part_url,size,color,rpm,airflow,pwm,manufacturer,part_number,connectors
Antec 75001,https://pcpartpicker.com/product/9hbp99/antec-75001-34-cfm-80-mm-fan-75001,80,Clear,2600,34,False,Antec,75001,3-pin
Gelid Solutions Silent,https://pcpartpicker.com/product/vgvRsY/gelid-solutions-case-fan-fnsx0442,40,Black,4200,4.5,False,Gelid Solutions,FN-SX04-42,3-pin
NZXT FZ,https://pcpartpicker.com/product/nx8Zxr/nzxt-case-fan-rffz20s02,200,White,700,103,False,NZXT,RF-FZ20S-02,3-pin
Thermaltake Blue-Eye,https://pcpartpicker.com/product/yC7wrH/thermaltake-case-fan-af0035,92,Transparent,"1300,2500",47,False,Thermaltake,AF0035,3-pin
Silverstone FW,https://pcpartpicker.com/product/jmPzK8/silverstone-case-fan-fw122,120,Blue / White,"1000,1800","42.6,76.5",True,Silverstone,FW122,4-pin PWM
Thermaltake Riing,https://pcpartpicker.com/product/69Gj4D/thermaltake-riing-12-rgb-406-cfm-120-mm-fan-cl-f042-pl12sw-a,120,Black,"1000,1500",40.6,True,Thermaltake,CL-F042-PL12SW-A,Proprietary PWM
Corsair ML140 PRO,https://pcpartpicker.com/product/RNGxFT/corsair-ml140-pro-rgb-554-cfm-140-mm-fan-co-9050077-ww,140,Black / White,"400,1200",55.4,True,Corsair,CO-9050077-WW,4-pin PWM|Proprietary RGB
NoiseBlocker ELoop B,https://pcpartpicker.com/product/kpYLrH/noiseblocker-nb-eloop-b14-ps-black-edition-839-cfm-140mm-fan-itr-b14-ps-bl,140,Black,1200,83.93,True,NoiseBlocker,ITR-B14-PS-BL,4-pin PWM
Corsair AF140 (2018) 2-Pack,https://pcpartpicker.com/product/zv97YJ/corsair-af140-led-2018-blue-62-cfm-140-mm-fans-co-9050090-ww,140,Black / White,1150,62,False,Corsair,CO-9050090-WW,3-pin
ARCTIC P12,https://pcpartpicker.com/product/LPZFf7/arctic-p12-563-cfm-120-mm-fan-acfan00133a,120,Black / Transparent,"200,1800",56.3,True,ARCTIC,ACFAN00133A,4-pin PWM
Thermaltake Pure A14,https://pcpartpicker.com/product/6PPgXL/thermaltake-pure-a14-9315-cfm-140-mm-fan-cl-f110-pl14bu-b,140,Black,"500,1500",,True,Thermaltake,CL-F110-PL14BU-B,4-pin PWM
Antec Fusion 120 ARGB White,https://pcpartpicker.com/product/tg2WGX/antec-fusion-120-argb-white-5793-cfm-120-mm-fan-0-761345-74045-6,120,White,"600,2000",57.93,True,Antec,0-761345-74045-6,4-pin PWM|3-pin 5V Addressable RGB
Gelid Solutions Stella Frost Daisy Chain 3-Pack,https://pcpartpicker.com/product/jqdG3C/gelid-solutions-stella-frost-daisy-chain-70-cfm-120-mm-fans-3-pack-fn-stella-d-02,120,White,"500,1600",70,True,Gelid Solutions,FN-STELLA-D-02,4-pin PWM|3-pin 5V Addressable RGB
Gelid Solutions Silent 9,https://pcpartpicker.com/product/pV4Zxr/gelid-solutions-silent-9-3132-cfm-92-mm-fan-fn-px09-16,92,Black,1500,31.32,False,Gelid Solutions,FN-PX09-16,3-pin
Thermalright TL-15R,https://pcpartpicker.com/product/zgHqqs/thermalright-tl-15r-4258-cfm-92-mm-fan-tl-9015r,92,,2700,42.58,True,Thermalright,TL-9015R,4-pin PWM
SeaSonic MAGFLOW ARGB 3-Pack,https://pcpartpicker.com/product/mCcgXL/seasonic-magflow-argb-4947-cfm-120-mm-fans-3-pack-magflow-argb-3,120,Black,2000,49.47,True,SeaSonic,MAGFLOW-ARGB-3|SF-12025MF-L3,4-pin PWM|3-pin 5V Addressable RGB
In Win Neptune DN120 Pro,https://pcpartpicker.com/product/7v7scf/in-win-neptune-dn120-pro-6056-cfm-120-mm-fan-iw-fn-dn120pro-1pk,120,Black / Red,"900,2200","24.15,60.56",True,In Win,IW-FN-DN120PRO-1PK,4-pin PWM
Vetroo SA-120,https://pcpartpicker.com/product/nGcBD3/vetroo-sa-120-5818-cfm-120-mm-fan-vt-fan-fdb120-bk,120,Black,"800,1300","26.05,58.18",True,Vetroo,VT-FAN-FDB120-BK,4-pin PWM|3-pin 5V Addressable RGB
