name,part_url,type,interface,capacity,color,manufacturer,part_number,rpm,form_factor
Toshiba Canvio Connect,https://pcpartpicker.com/product/WMqdnQ/toshiba-external-hard-drive-hdtc715xr3c1,HDD,USB Type-A 3.2 Gen 1,1500,,Toshiba,HDTC715XR3C1,5400.0,External
Toshiba Canvio Connect,https://pcpartpicker.com/product/6vH323/toshiba-external-hard-drive-hdtc715xl3c1,HDD,USB Type-A 3.2 Gen 1,1500,,Toshiba,HDTC715XL3C1,5400.0,External
Toshiba Canvio Connect,https://pcpartpicker.com/product/BQFPxr/toshiba-external-hard-drive-hdtc715xk3c1,HDD,USB Type-A 3.2 Gen 1,1500,,Toshiba,HDTC715XK3C1,5400.0,External
Toshiba Canvio Connect,https://pcpartpicker.com/product/HLh9TW/toshiba-external-hard-drive-hdtc710xw3a1,HDD,USB Type-A 3.2 Gen 1,1000,,Toshiba,HDTC710XW3A1,5400.0,External
Toshiba Canvio Connect,https://pcpartpicker.com/product/qD6BD3/toshiba-external-hard-drive-hdtc710xs3a1,HDD,USB Type-A 3.2 Gen 1,1000,,Toshiba,HDTC710XS3A1,5400.0,External
Toshiba Canvio Connect,https://pcpartpicker.com/product/jvg323/toshiba-external-hard-drive-hdtc710xr3a1,HDD,USB Type-A 3.2 Gen 1,1000,,Toshiba,HDTC710XR3A1,5400.0,External
Toshiba Canvio Connect,https://pcpartpicker.com/product/8nW9TW/toshiba-external-hard-drive-hdtc710xl3a1,HDD,USB Type-A 3.2 Gen 1,1000,,Toshiba,HDTC710XL3A1,5400.0,External
Toshiba Canvio Connect,https://pcpartpicker.com/product/jdphP6/toshiba-external-hard-drive-hdtc710xk3a1,HDD,USB Type-A 3.2 Gen 1,1000,,Toshiba,HDTC710XK3A1,5400.0,External
Toshiba Canvio Connect,https://pcpartpicker.com/product/4pqdnQ/toshiba-external-hard-drive-hdtc707xw3a1,HDD,USB Type-A 3.2 Gen 1,750,,Toshiba,HDTC707XW3A1,5400.0,External
Toshiba Canvio Connect,https://pcpartpicker.com/product/mC3RsY/toshiba-external-hard-drive-hdtc707xs3a1,HDD,USB Type-A 3.2 Gen 1,750,,Toshiba,HDTC707XS3A1,5400.0,External
Toshiba Canvio Connect,https://pcpartpicker.com/product/bG7wrH/toshiba-external-hard-drive-hdtc707xr3a1,HDD,USB Type-A 3.2 Gen 1,750,,Toshiba,HDTC707XR3A1,5400.0,External
Toshiba Canvio Connect,https://pcpartpicker.com/product/NbW9TW/toshiba-external-hard-drive-hdtc707xl3a1,HDD,USB Type-A 3.2 Gen 1,750,,Toshiba,HDTC707XL3A1,5400.0,External
Toshiba Canvio Connect,https://pcpartpicker.com/product/NqxfrH/toshiba-external-hard-drive-hdtc707xk3a1,HDD,USB Type-A 3.2 Gen 1,750,,Toshiba,HDTC707XK3A1,5400.0,External
Toshiba Canvio Connect,https://pcpartpicker.com/product/ncW9TW/toshiba-external-hard-drive-hdtc705xw3a1,HDD,USB Type-A 3.2 Gen 1,500,,Toshiba,HDTC705XW3A1,5400.0,External
Toshiba Canvio Connect,https://pcpartpicker.com/product/Y87wrH/toshiba-external-hard-drive-hdtc705xs3a1,HDD,USB Type-A 3.2 Gen 1,500,,Toshiba,HDTC705XS3A1,5400.0,External
Toshiba Canvio Connect,https://pcpartpicker.com/product/BqDwrH/toshiba-external-hard-drive-hdtc705xr3a1,HDD,USB Type-A 3.2 Gen 1,500,,Toshiba,HDTC705XR3A1,5400.0,External
Toshiba Canvio Connect,https://pcpartpicker.com/product/pszv6h/toshiba-external-hard-drive-hdtc705xl3a1,HDD,USB Type-A 3.2 Gen 1,500,,Toshiba,HDTC705XL3A1,5400.0,External
Imation Apollo Expert,https://pcpartpicker.com/product/zf6BD3/imation-external-hard-drive-28258,HDD,USB Type-A 3.2 Gen 1,1000,,Imation,28258,,External
Transcend StoreJet,https://pcpartpicker.com/product/WqK7YJ/transcend-external-hard-drive-ts500gsj25a2k,HDD,USB Type-A 2.0,500,,Transcend,TS500GSJ25A2K,,External
Transcend StoreJet,https://pcpartpicker.com/product/hG7wrH/transcend-external-hard-drive-ts500gsj25m2,HDD,USB Type-A 2.0,500,,Transcend,TS500GSJ25M2,5400.0,External
Transcend StoreJet,https://pcpartpicker.com/product/7DDwrH/transcend-external-hard-drive-ts500gsj25m3,HDD,USB Type-A 3.2 Gen 1,500,,Transcend,TS500GSJ25M3,5400.0,External
Transcend StoreJet,https://pcpartpicker.com/product/fNR48d/transcend-external-hard-drive-ts750gsj25m2,HDD,USB Type-A 2.0,750,,Transcend,TS750GSJ25M2,5400.0,External
Axiom Mobile-D,https://pcpartpicker.com/product/K3V48d/axiom-external-hard-drive-usb3hd257500ax,HDD,USB Type-A 3.2 Gen 1,500,,Axiom,USB3HD257500-AX,7200.0,External
