name,part_url,price,type,interface,capacity,price_per_gb,color
Western Digital easystore,https://pcpartpicker.com/product/CRrYcf/western-digital-easystore-14-tb-external-hard-drive-wdbama0140hbk-nesn,,Desktop,USB Type-A 3.2 Gen 1,14000,,Black
Sabrent Rocket Nano V2,https://pcpartpicker.com/product/DJgrxr/sabrent-rocket-nano-v2-4-tb-external-ssd-sb-4tb-nav2,519.99,Portable,USB Type-C 3.2 Gen 2x2,4000,0.13,Black
Seagate Barracuda Fast,https://pcpartpicker.com/product/BsjNnQ/seagate-barracuda-fast-1-tb-external-ssd-stjm1000400,,Portable,USB Type-C,1000,,Black
Seagate One Touch,https://pcpartpicker.com/product/Z37G3C/seagate-one-touch-2-tb-external-hard-drive-stkg2000400,211.99,Portable,"USB Type-A 3.2 Gen 2, USB Type-C 3.2 Gen 2",2000,0.106,Black
Seagate Game Drive Xbox GamePass Edition,https://pcpartpicker.com/product/2DGnTW/seagate-game-drive-xbox-gamepass-edition-4-tb-external-hard-drive-stea4000407,,Portable,USB Type-A 3.2 Gen 1,4000,,White
Seagate One Touch,https://pcpartpicker.com/product/486p99/seagate-one-touch-16-tb-external-hard-drive-stlc16000400,303.99,Desktop,USB Type-A 3.2 Gen 1,16000,0.019,Black
Crucial X10,https://pcpartpicker.com/product/43Nscf/crucial-x10-1-tb-external-ssd-ct1000x10ssd9,137.99,Portable,USB Type-C 3.2 Gen 2x2,1000,0.138,Blue
Crucial X10,https://pcpartpicker.com/product/nhvscf/crucial-x10-4-tb-external-ssd-ct4000x10ssd9,478.99,Portable,USB Type-C 3.2 Gen 2x2,4000,0.12,Blue
Samsung T9 Portable,https://pcpartpicker.com/product/pFHqqs/samsung-t9-portable-1-tb-external-ssd-mu-pg1t0bam,191.99,Portable,USB Type-C 3.2 Gen 2x2,1000,0.192,Black
Crucial X10 Pro,https://pcpartpicker.com/product/PJgrxr/crucial-x10-pro-1-tb-external-ssd-ct1000x10prossd902,,Portable,USB Type-C 3.2 Gen 2x2,1000,,Black
Corsair EX100U,https://pcpartpicker.com/product/N67G3C/corsair-ex100u-4-tb-external-ssd-cssd-ex100u4tb,440.99,Portable,USB Type-C 3.2 Gen 2x2,4000,0.11,Black
Seagate One Touch,https://pcpartpicker.com/product/XtzhP6/seagate-one-touch-5-tb-external-hard-drive-stkc5000400,166.99,Portable,USB Type-A 3.2 Gen 1,5000,0.033,Black
Western Digital My Book Duo,https://pcpartpicker.com/product/R4MTwP/western-digital-my-book-duo-24-tb-external-hard-drive-wdbfbe0240jbk-nesn,873.99,Desktop,"USB Type-A 3.2 Gen 1, USB Type-C 3.2 Gen 1",24000,0.036,Black
