name,part_url,interface,color,manufacturer,part_number
Intel EXPI9402PT,https://pcpartpicker.com/product/GL8Zxr/intel-wired-network-card-expi9402pt,PCIe x4,,Intel,EXPI9402PT|EXPI9402PTBLK
Intel PWLA8391GTLBLK,https://pcpartpicker.com/product/PX4gXL/intel-wired-network-card-pwla8391gtlblk,PCI,,Intel,PWLA8391GTLBLK
EDUP EP-9602GS,https://pcpartpicker.com/product/kbkgXL/edup-ep-9602gs-pcie-x1-1000-mbits-network-adapter-ep-9602gs,PCIe x1,Black,EDUP,EP-9602GS
D-Link DUB-E100,https://pcpartpicker.com/product/MC7wrH/d-link-dub-e100-usb-20-100-mbits-network-adapter-dub-e100,USB Type-A 2.0,,D-Link,DUB-E100
Rosewill RNG-407-Dual,https://pcpartpicker.com/product/myGkcf/rosewill-wired-network-card-rng407dual,PCIe x1,,Rosewill,RNG-407-Dual
StarTech ST3300U3S,https://pcpartpicker.com/product/ZZ6BD3/startech-wired-network-card-st3300u3s,USB Type-A 3.2 Gen 1,,StarTech,ST3300U3S
TRENDnet TUC-ET2G,https://pcpartpicker.com/product/zryV3C/trendnet-tuc-et2g-usb-type-c-25-gbits-network-adapter-tuc-et2g,USB Type-C 3.2 Gen 1,Black,TRENDnet,TUC-ET2G
Syba SY-PEX24028,https://pcpartpicker.com/product/fPw323/syba-sy-pex24028-pcie-x1-1-gbits-network-adapter-sy-pex24028,PCIe x1,,Syba,SY-PEX24028
StarTech ST1000SPEXD3,https://pcpartpicker.com/product/WvPfrH/startech-wired-network-card-st1000spexd3,PCIe x1,,StarTech,ST1000SPEXD3
StarTech USB21000S2,https://pcpartpicker.com/product/yk2kcf/startech-wired-network-card-usb21000s2,USB Type-A 2.0,,StarTech,USB21000S2
Intel E1G42ET,https://pcpartpicker.com/product/rDPfrH/intel-wired-network-card-e1g42et,PCIe x4,,Intel,E1G42ET
Intel PWLA8490MTBLK,https://pcpartpicker.com/product/vj6BD3/intel-wired-network-card-pwla8490mtblk,PCI-X,,Intel,PWLA8490MTBLK
StarTech USB31000S,https://pcpartpicker.com/product/sk2kcf/startech-usb31000s-usb-30-1-gbits-network-adapter-usb31000s,USB Type-A 3.2 Gen 1,,StarTech,USB31000S
Edimax EU-4208,https://pcpartpicker.com/product/9MLypg/edimax-wired-network-card-eu4208,USB Type-A 2.0,,Edimax,EU-4208
Syba SY-HUB24047,https://pcpartpicker.com/product/7m97YJ/syba-sy-hub24047-usb-30-1000-mbits-network-adapter-sy-hub24047,USB Type-A 3.2 Gen 1,Black,Syba,SY-HUB24047
